121492	135677984
155256	245487216
288242	46314295
306411	52959660
316106	349433066
323032	197814276
332697	350914819
349951	53680883
391804	369029753
438138	272373799
457302	369938275
572474	307291906
609332	215293346
621087	269205860
661035	229653332
679132	334045043
694278	396929952
702558	153367048
725808	293376153
749093	19061303
744429	45600876
816444	42985321
816683	312137990
816683	64888340
819167	272149800
871202	182156137
881829	123139902
877373	343691555
985791	271521943
1018136	49028433
1022133	388125268
1050584	116081362
1108655	221307188
1175241	281936870
1237337	286420537
1266363	59959212
1335595	162649342
1341018	83349040
1367880	300274479
1401876	14799665
1436782	131508540
1470056	92591470
1513416	177628360
1532285	117058110
1532848	221471351
1573611	111133758
1584618	151296743
1585442	165210071
1602666	223224940
1611785	17191703
1611785	250078905
1614570	329297836
1672230	6244244
1682237	269253026
1705410	140893867
1727360	352728119
1750993	64073118
1795882	48678573
1837887	103062369
1833984	764320
1908862	305470694
1918643	262186143
1939068	175398196
1958297	284653272
1963736	30681732
1983044	361361662
2022137	145327636
2028298	344738249
2056116	345700770
2147971	200781409
2205850	344417215
2217829	232490307
2270587	310744914
2270587	286504925
2279471	85988564
2333882	210629607
2333882	222655129
2365627	222193211
2454729	251256207
2458508	246397564
2458508	208225959
2458508	186650264
2501196	118113655
2527271	234027109
2534300	313179597
2551793	186179530
2580869	108217145
2596192	383352513
2597719	324070282
2624434	345087226
2628826	271499185
2670873	23373171
2674899	292266672
2683726	187329700
2683726	200392611
2683726	395927121
2691443	134646128
2706715	309821681
2767847	391022431
2808994	102399425
2815838	377418297
2818223	36963677
2886358	83847888
3037771	366180043
3086792	155363646
3140776	69661396
3159928	177425374
3197258	150069890
3198491	141766538
3210220	75035715
3245460	168128321
3252256	8622629
3251993	71775423
3255320	52157081
3264510	42977887
3297935	244741474
3304906	171712059
3348380	12266079
3380947	284104836
3411031	185851227
3471368	120809419
3471368	15290438
3493198	275687604
3511995	251356552
3570109	56890742
3621670	355320617
3646740	117009125
3647823	277216423
3657309	278432568
3693583	79879823
3719694	326578870
3791599	132942561
3796756	115506261
3820144	157780388
3823146	188004662
3872979	309332330
3914414	89982793
3940757	369631264
3994214	246773094
4038112	104533705
4038104	279105565
4056578	267523764
4099113	12397168
4127034	93051173
4199843	181056402
4199843	216596309
4199843	338976360
4203965	158123776
4199843	32027610
4199843	379140077
4199843	264716743
4203965	260254241
4199843	352019252
4203965	355947497
4211810	259821832
4229077	254708323
4237331	274186102
4235044	14466915
4237331	351985806
4243356	383553576
4243356	363670163
4337626	61577580
4369433	69072619
4390104	282838866
4398899	44287629
4450337	253210893
4497643	343369375
4561629	267641279
4586778	2697405
4706727	66396198
4704496	335772855
